Index,Text,Score
149,"Other than that, MS Office is a great software, until they change it again",2
150,I've installed on two PCs,0
151,Flawless installs,1
152,"Arrived on time, great price",1
153,"I remember when Office was installed on all computers, but now you have to pay out the wazoo for it",0
154,I bought the year subscription and am pleased with the product,1
155,"They send you a card that allows you up to 5 PCs, laptops, tablets, etc",0
156,"You get all the Office products: Word, Excel, Publisher, PowerPoint, Outlook, Access, etc",0
157,This is well worth the subscription,1
158,It also works on MAC computers,1
159,I would recommend this product,1
160,"What can I say, it's MS office",1
161,Dependable product,1
162,Always a good program the only reason I gave it 4 stars instead of 5 it because you have to renew it each year now rather than just keep using the old version,2
163,Good value,1
164,I had trouble uploading it on one of my laptops,-1
165,I didn't need to buy it in the 1st place as the notice to renew was bogus,-1
166,Always liked Office Products,1
167,Expensive for a retiree but worth it for everything I do,2
168,Followed the instructions that came with key card and had no problems with installation,0
169,Plus it was much cheaper to buy a new subscription than to renew through Microsoft,1
170,Glad I switched to the Office 365 annual subscription service,1
171,At less than $90 it's good value for the price and I always have the latest version of everything,0
172,Miss the days you bought the office suite,0
173,Hate the annual renewal and the store on cloud instead on my laptop!,-1
174,The best deal I've found on a year of 365 BY FAR (it came to about $0,1
175,"05/day for a year of use across each license), and the number of licenses enabled me to set it up on my mom's laptop as well",0
176,I was even able to invite a friend to share a license,0
177,Re: Sharing licenses: You can ABSOLUTELY share licenses with other people without having to enable them to access or connect with your account in any way,0
178,"You'll be prompted to log into your Microsoft Account, where you'll be given the option to invite people via their email address to use a license",0
179,"Just ask them what email address they want to use for their Microsoft Account (if they don't already have one) and enter it in the field provided, then that's it",0
180,No further input is required from you,0
181,Very easy and totally private,1
182,"needed, got it below sales price, always good",1
183,Don't like that you have to buy this ever year,-1
184,What happened to buying it once and it's yours? I don't understand this at all,0
185,It's Microsoft Office,0
186,"So far, I've installed it on three computers (all of them Windows 10) without any problems",1
187,I'm not real fond of the latest version of Outlook but I've managed to get it to do what I want and get somewhat used to it,2
188,No real technical issues or other problems,0
189,Great price and fast shipping,1
190,I buy this every year from Amazon,1
191,Just before the year expiration comes due I get a message across the top of any MicroSoft Office programs that it is time to renew,0
192,"If I go that route the cost is a hundred dollars, if I get it from Amazon it is $75",0
193,And it is all the same there is nothing different that I can tell but the price,0
194,Great buy and product,1
195,"I returned this as I only needed one standalone app, EXCEL, for my purpose",-1
196,"Other than that, the whole software package really does the job",2
197,I would recommend it to any computer enthusiast,1
198,Used as renewal license,1
199,Works great,1
200,Rite price!,1
201,The price was right!,1
202,"Having paid $99 when I purchased MS Office 365 Home for a 1-year subscription, I was prepared to pay the same again to renew",0
203,"However, I was surprised to find I could, in fact, buy the renewal cheaper here on Amazon, instead of renewing through Microsoft",0
204,I was able to save about $20 renewing with Amazon vice Microsoft,0
205,"And, twenty bucks off the normal price for Microsoft Word, Excel, PowerPoint, Access, Outlook, OneDrive, free online storage, access to Office Online, and a few more features",0
206,is a great bargain,1
207,"While many folks have migrated to free full office suites, or even use Microsoft Office Online or Google Docs, I prefer having MS Office 365 Home installed on my PC",0
208,Very little maintenance is required,1
209,"I manually check for updates every week, but I love not having to worry about keeping my Office products updated, because it's done automatically",0
210,"I have Office 365 Home installed on three PC's and have apps installed on my phone and tablet, ensuring I have access to all my Office products and personal documents any time I need it",0
211,"And, OneDrive makes sure I have all devices synced with up-to-date versions of my personal documents",0
212,Microsoft makes access to my Office documents easy and convenient,1
213,"And, Amazon has made renewing my yearly subscription more affordable and just as easy too",1
214,"I simply logged into my Microsoft account online, added my renewal product key, and checked the expiration date for renewal",0
215,The process was simple and took a few minutes to do,1
216,Works great,1
217,Perfect,1
218,I had purchased my initial subscription through Dell but I didn't want to renew with them,-1
219,"I was concerned by the mixed reviews of this product on Amazon, but they were misleading: renewal was super-easy",1
220,"And with Amazon Prime, I received the product the day I ordered it",0
221,"At first, I was a little concerned that I was sent a Product Key for a '1 year subscription for 1 household' 'Spanish and English' 'Office 365 Home Premium'",2
222,"Before opening the package, I called Microsoft",0
223,They confirmed that this was good for the US market and not some product licensed for a different geography,2
224,"To renew, I searched for 'Renew Office 365 for Home'",0
225,I selected 'Buy another year of Office from a Retail store',0
226,"I followed the instructions: I went to the link provided, entered the 25 character code I received",0
227,I pressed Next,0
228,Surprise! I was done,0
229,"(The instructions said that I would need to enter the Microsoft account associated with Office 365, but the registration page knew who I was because I was logged into my Microsoft Account on a different window",0
231,"Separately, I read that you can extend for up to five years, if you are so inclined",0
232,"I declined the option for auto-renewals, because I paln to follow this same procedure next year when I need to renew",0
233,It saved me 20 bucks,0
234,I followed the advice of previous reviewers and opted for the Microsoft key card over the download version,0
235,This is sound advice,1
236,There is no guarantee with the download version so if your download goes wrong you may well be out of luck,0
237,With the key card version you are able to call Microsoft for installation help,0
238,But the install instructions are clear enough so this options probably won't be necessary,1
239,Microsoft Office 360 has options I thought I would never use but I am already making more use of the product than I originally planned,1
240,I really think its a bunch of bull crap that we can't purchase out right and have this rental,-1
241,Not every one wants there stuff in a cloud,0
242,No dam privacy,0
243,What I expected!,0
244,"Great price, saved me 25% off",1
245,it works fine,1
246,I was afraid this would be online-only versions of office,0
247,It is an actual install locally with cloud integration,0
248,It is exactly what I was looking for,1
249,Although I only needed a 3 PC version,0
250,This is an updated version and well worth it,1
251,I have been using MS Office professional for decades,1
252,"This latest version simply provides the top version in the most convenient, automatically updated, and economical format",1
253,"The annual subscription renews the app on all 5 machines for a year, for under $100 ($20 per year per PC or device)",1
254,"I have had a number of scary moments with the Outlook component, but each was quickly fixed by the readily-available Microsoft telephone service for this product (I let them take over my machine and they quickly fix it in less than 10 minutes)",0
255,"Frankly, this telephone service deserves more than five stars--competing at a near-perfect level, despite competing support elsewhere in the software market being scandalously poor",-1
256,I didn't realize it was just a one-year subscription so that kind of sucks,-1
257,I wish it was a forever subscription,1
258,Great price and product,1
259,I put it on two PCs so far and it is okay,1
260,Typical long Office update learning curve as they feel the need to move all the familiar stuff for no apparent reason other than requiring the user to click more and spend time on the internet learning how to change settings,0
261,"One PC has the draw tab in all products, the other does not",0
262,Several searches has no provided a solution,0
263,One big complaint is the default for PowerPoint slides is a wide format that makes the page too big to print on 8,0
265,I need to set up my own default template,0
266,The best part of PowerPoint was always knowing it was standard page size and had a,0
267,5 hidden margin all the way around,0
268,I haven't put it on my main PC yet as I have to go through the long drawn out process of backing up files and making sure the old version is totally removed,0
269,"After that, I can play with 365 more",0
270,Just upgraded to Windows 10 so felt it necessary to upgrade my home software as well,1
271,I didn't have any issues converting my older documents to this new version and haven't had any issues using it although I haven't had enough time to really become familiar with the new Word and Excel,0
272,So I bought it quite quickly (straight from Microsoft Office Website) but I had to create a new Microsoft account to install it (which the customer service advised only after an hour of trying to figure out what was wrong) and the installation has been in progress for 15 minutes now :) I mean,0
273,first of all - WHAT? and second of all - if microsoft is trying to ramp up on the number of user IDs created to help their miserable demand - this is really not the smartest marketing move,0
274,I knew this was the way to go,1
275,It fits my lifestyle perfectly,1
276,I also have the previous version on my older computers,0
277,This is really a great buy,1
278,It breaks down to a full MS Office software suite for 5 computers plus 1TB of online storage,0
279,The storage alone is worth the price,1
280,"Well worth $100 per year, or less than $10 per month",1
281,"the main reason for my poor review is that every time you install Microsoft Office on a new computer, all the rules need to be re-created",-1
282,It works,1
283,What I received simply was not what was described,0
284,What I received was not for 5 PCs,0
285,Returned,-1
286,It was much easier when you just bought the software outright rather than this year to year,0
287,"I'm finding if you don't need bells and whistles, privacy issues aside Google could fit the bill",0
288,"Office 365 works well, and is a ""business"" standard",1
289,"I think the value of the Home package is clear; being able to install on 5 Macs or Windows machines is a savings for me, since I have an MacBook Pro (and VMware Fusion for Windows), as well as my Mac desktop with a similar VMware installation",0
290,"This allows me to install four instances, and still have a spare",1
291,"Only minor complaint, I started with the 30 trail",2
292,I installed three instances to give it a try on Mac and Windows,1
293,"Found it worked well, and bought the license key",1
294,"When my trial period was up, I entered my 1-year key",1
295,"It was accepted, but only a day or two later received an email that I had been charged $9",-1
296,99 for a one month subscription,0
297,"I had to call to get it sorted out, but the support rep was friendly and finally understood the situation",0
298,"Once he did, the charge was reversed and the account ""configured"" to coincide with my actual one year subscription",0
299,"The only other item, and this is the reason for removing one star:  the Mac and Windows versions are really different; more than expected",0
300,"The biggest and worst complaint, the Mac versions do not have the same features (for example the customizable ribbon) as the Windows counterparts",2
301,Microsoft really took a step backwards from Office 2011 (for Mac,-1
302,)  Hopefully they will get the Mac version into this decade,0
303,good,1
304,No problem loading the key and all is good for another 12 months!,1
305,Has to be setup by the person managing the Office 365,1
306,The first person to install Office 365 owns it,1
307,Great value,1
308,"I have office on all four of my computers, several tablets and a couple phones",1
309,Now the whole family can use office and the kids need it for school,1
310,I guess I spend about $25 a year per family member,0
311,Slow and glitchy,-1
312,"Takes forever to do simple Excel tasks like copy, paste, and print",1
313,Simple tasks make this thing gray out,0
314,"I'm running an Intel I7 processor, so I don't have a slow computer",1
315,It runs QuickBooks great and that's a lot more demanding than Office,1
316,This edition of Office sucks,-1
317,At work we use Office 2007,1
318,It works flawlessly,1
319,I'm going to download that and trash this,0
320,"I paid good money for this, but trash belongs in the garbage no matter how much you paid for it",0
321,"What a piece of s*** ""update""",-1
322,I use a PC at work and our IT department forced us to update to this piece Ospreys s*** update,-1
323,Typical Microsoft,0
324,"For every one thing that they improved, they screwed up 20-50 more",0
325,"Seriously, some very simple tasks as logging into email, saving files, and turning on an Out Of Office response are much more difficult to implement",-1
326,I wish I could revert back to the previous version,-1
327,"I would not have voluntarily installed this horrible update!

This is why I use a Mac at home!

You've totally botched it, yet again Microsoft!!!!
Wish I could give this update thing -1,000,000 stars!

Microsoft software is so bad, I really wonder if they themselves use this crap!!!",-1
328,"easy to install, works as normal office product",1
329,I cant install this office because is for Ireland and i buy in United States of America,2
330,Nice,1
331,I was led to believe I could use this product key to extend my current Office 365 subscription,-1
332,"But I after logging on to my Microsoft account and entering the key, I got this message;

""Did you originally buy Office from an app store? You need to wait for your current subscription to end before starting a new one",0
333,Just hang on to your product key until then,0
335,"I thought it was supposed to have full installed 2016 versions of Word, Excel, PowerPoint, Outlook,Publisher, Access, and Onenote",-1
336,Disappointed Access and Onenote did not install on Mac,-1
337,I was told those are only for Windows and not Mac,-1
338,Just what the family needs,1
339,"When sold by Hi-Tech Software, it's the wrong product",0
340,Activation key is only valid for the Middle East,0
341,Annoying to have to deal with a return,-1
342,Good program,1
343,"Seems to work fine, but I don't like being on the hook having to renew my subscription yearly",2
344,Great buy,1
345,would and will buy again,1
346,"Especially when paying less than the $99 annual subscription fee, I have been happy with having access to the full suite of MS products",1
347,"I don't know if it makes as much sense if you only use 1 license, but I'm always using 4 or 5 which justifies the cost a bit more",2
348,I've read some stuff about Microsoft customer service issues in the reviews,0
349,I have not had the need to contact them so I cannot speak to that,0
350,Microsoft office is fine,1
351,However I bought my parents a new computer and bought this for their computer,0
352,"Because I bought under my name, I couldn't transfer it to their computer",0
353,Ugg,-1
354,I long for the days of a CD disc,0
355,Wrong software,-1
356,It is only valid in China,-1
357,Had to return it and buy a download of the product,-1
358,Total BS!!!!! Was some foreign key code and nothing works,-1
359,"Won't return, because it is software! Region is not USA!",2
360,Great product - would buy again,1
361,As advertised,0
362,Works fine,1
363,Doesn't work when the internet is down,-1
364,I DONT LIKE THAT,-1
365,Bought this for the entire house,0
366,Very useful,1
367,"thanks, it was just what I had been trying to avoid but needed",1
368,Well worth the money,1
369,I'll do it again next year,1
370,There are two options available for purchase - a digital download sold by Amazon or a key card sold by 3rd party and fulfilled by Amazon,0
371,I went with the key card option because it was a little less money and figured I could wait 2 days for my prime delivery,2
372,"When I received the key card and entered it  on my Microsoft account, received error message that the product key wasn't meant for my region",-1
373,"When I read the label on back of key card package, it was for the middle eastern region",0
374,I returned the invalid key card to Amazon for refund,0
375,I then ordered the digital download version  from Amazon,0
376,"Immediately received product key and link to Microsoft for immediate activation, which worked perfectly",0
377,Simply the best deal for MS users,1
378,I was paying monthly for my account but this is less expensive option for 5 devices you can't beat this price,1
379,I wanted to make sure I did this right so I ordered the product key and install was a breeze,1
380,Easy to install,1
381,As promised,0
382,All is good,1
383,This was described as being able to use up ro three devices,0
384,Would only work on one,2
385,Disappointed,-1
386,I am happy with the product line but the account was difficult to setup and login was always a pain,2
387,I ended up not setting it up on all by devices just because it was to much work,-1
388,I really loved it when I could login and use it,1
389,I honestly think there are a lot of just as good alternatives these days,0
390,"I have been using Google Docs, Sheets, and Slides instead, so in my option save your money unless you really love the Office experience and can't live without it",2
391,I will say when I got my renew notice and I thought to myself,0
392,man I have paid for this for a whole year and still have not even figured out how to get into my account,-1
393,The tech guy walked me through it and I was able to login and use my account,0
394,I guess if you use Office at work it would be nice to have it at home too,1
395,But if you are like me and use it for home and not all that often,0
396,"Have kids that need it for school, well for that kind of stuff like I said earlier there are free alternatives now that work well",0
397,It works very well and exceeds my expectations,1
398,Sent me a product key for the middle east,0
399,I live in the U,0
400,Product Key will not work,-1
401,I've had some issues with the download of this product,-1
402,"I had to do it several times it recognized my product key, but the actual program would not save for ease of use to my desktop",0
403,"I haven't needed office in quite sometimes, and I am not one that will read through instructions, maybe the new way of office is web based?",0
404,very good software,1
405,"Beware of 24 7 Bargains, (Vendor)",0
406,Received this product and upon trying to activate got the message that this product was not designed for our location,-1
407,"In other words, this has a Geo Lockout according to Microsoft after spending 2 wasted hours on the phone with them",-1
408,"Bottom line, returned the merchandise",-1
409,"Vendor is listed out of California, I'm in Washington, product only works in some other part of the world, not USA or Canada",0
410,Needed this to put on personal computer to do grad work,0
411,Using Google was not good enough,-1
412,LOVE the APA formatted paper made this purchase worth every penny!,1
413,Just received this product key card from General - Liquidators and tried to use it,0
414,The product key was not accepted with an error that it was not meant for my region,0
415,I live in the US and General - Liquidators shipped this key card from KY,0
416,Contacted Microsoft support and they were not able to help me use this key,-1
417,I am returning this order,-1
418,UPDATE:  Painless return through Amazon and received another code that now works,-1
419,Changed rating according to product,0
420,I like Office 365,1
421,"Easy to use for multiple computers in our family, plus extra storage in OneDrive",1
422,This product does not work,-1
423,This product key isn't meant for your region,-1
424,"For help with this error, contact support",0
425,Still getting used to the differences from Office 2007,0
426,Takes time to adjust after years with another version,0
427,Have  not studied changes enough to determine if I like it better or not,0
428,I have converted all my computers to mac,0
429,"Having to purchase Office for ipads, Mac OS and Windows the cost is extraordinary",1
430,The 5 PC/Mac and tablets fits the bill,0
431,I am not a fan of renting the software but then again it's far cheaper with 365 than out right purchases,0
432,Just remember to pay the subscription fee and you'll be fine,0
433,Microsoft has come a long way with this package,1
434,The ipad apps are lacking in many aspects,-1
435,"However, I can transition from Mac to PC to ipad to iphone",0
436,This is especially helpful in word docs,1
437,A few of my friends have moved to google,0
438,Great program but even they admit there are some compatibility issues,2
439,Microsoft has me hooked but I find this product to be a very good value,2
440,Microsoft needs to work on making the process of registering multiple platforms easier,-1
441,The control panel stinks,-1
442,The one star does not reflect the product itself,1
443,"Rather, I purchased it here in the USA as a gift for my daughter in law who lives in Spain",0
444,It was very difficult to get the product usable in Spain; I'm not sure if it ever was made usable,-1
445,It's very disappointing to purchase a software produce here and then learn that it's not usable in another country,-1
446,excel does NOT have VBA,-1
447,"Great price, product exactly as described",1
448,Worked as advertised to extend my product subscription,1
449,Took a while for the key card to arrive in the mail,0
450,most likely delayed a couple of days due to Blizzard 2016 but I was getting nervous as my subscription was getting ready to expire,0
451,Make sure and order at least 2 weeks before your subscription expires,0
452,"Got too much advertisement with this, sent back",-1
453,This Office 365 key CANNOT be used in US (only in China),-1
454,Better price than buying from Microsoft,1
455,Just now loading software,0
456,Slow to load but seems to work as expected,2
457,Good price,1
458,After discovering how much MS wanted for a single slimy installation of Office 2016 (my preferred method of buying previously) I had already bought Office 365 and found this subscription,0
459,"If you want to save some money and can wait (or use the 30 day trial from MS), why not buy from Amazon here?",0
460,Worked fine,1
461,"However, the Microsoft installation was difficult and had to involve a chat with Indian staff and remote control of my computer to get it to download",2
462,Bait and Switch,-1
463,I called Microsoft ahead of time to talk to a representative about what support I would get with Office 365,0
464,I had Office 2013 installed so was already happy,1
465,"I was convinced I would get 24/7 support by either phone, chat, or email",-1
466,Lie,-1
467,"Yes, there there is a support line somewhere in the eastern hemisphere",1
468,The people on the other end of the line are trained in two things:  1,0
469,"Hanging up on you (it has happened to me three times, then MS sends me a survey asking about my support experience)  2",0
471,that type of support is outside our support boundary,0
472,new term for me: Support Boundary,0
473,The support you get is technical only,0
474,"That is, if you have a problem getting one of the programs to install",0
475,"If you want help using the program, you will get this response, ""Sir, go on the Web and find www",0
478,"There you will find some garbage that says ""We are creating more modules every day",0
479,"""  I would give it one star, but the saving grace is the included OneDrive TB of memory",2
480,"That's good, and, so far seems to work well",1
481,So what do I want out of this program?  Pretty easy,1
482,"I want MS Outlook to sync Contacts, Calendar, and Reminders between my phones and computers",0
483,It is impossible to figure out how to do this,-1
484,"You will find out that unless you have Office 365 for Business, Outlook does not reside in ""the cloud",2
485,"""  Maybe I can share a document with someone, but I defy you to figure out how to actually make that happen",0
486,Disappointed is an understatement,-1
487,It's microsoft,0
488,What else is there to say?,0
489,"I finally get it, if you need want to try online storage and have licenced office products this is a good choice for all you home PCs and Movil devices",0
490,Love it and easy to install and use,1
491,"Great price, very happy",1
492,"Never thought I would migrate to subscription software, but I am very pleased with it",1
493,I bought this as a renewal for the occasional use of Office in our family,0
494,My kids are both college students so sometimes they need to produce soft copies of papers in a MS file name,0
495,"When the key code arrived, I updated it to my account and then handed the card to my son, assuming that this worked like every other multi-computer key coded software on the planet",0
496,It doesn't,-1
497,My account changed to reflect that my subscription expired and my son's sign-up created a new account,0
498,I didn't know about this until MS contacted me to let me know that my service had expired,0
499,I followed their instructions and the date simply did not update - no explanation of why or what happened,-1
500,No error message,0
501,The process simply didn't result in an updated expiration date,-1
502,"So after sorting through MS web pages for 20 minutes to actually get service I could contact, I chatted with online help, who seemed confused themselves, didn't answer my questions and who ended the chat without helping 10 minutes later",0
503,"How do they expect a customer not to be frustrated by the time they even find access to online chat? Just because they don't know the answers themselves, they could check with someone else rather than ending the chat",-1
504,There are other similar office suites available that are both cheaper and similar in functionality,2
505,Some even allow files to be saved as MS file types,0
506,I bought this product because I'd used it professionally for years,0
507,I had no idea the product and especially service degraded to this level,-1
508,After this experience I don't think I'll ever buy Office again,-1
509,It's too bad Amazon won't allow this to be returned at this point,-1
510,So I now understand that you can only have one online account despite the up to 10 machines it promises to cover,0
511,Does that mean that only one person can use it and is expected to use it on 10 different computers and tablets? How does a second or third person access and use the software on another computer?,0
512,my  wife is happy,1
513,I bought a new Windows 10 computer which had Office365 pre-installed,0
514,"When I opened a Microsoft Office product on my computer, such as Word, it asked me for an activation key",0
515,So I put in this activation key and it activated the product fine,0
516,So no problems here in activating the product,1
517,I'll tell you what I don't like,0
518,It's the fact that that this is a subscription,0
519,To renew costs $99/year,0
520,Product description is very misleading,-1
521,"In the package material, for instance, we read that there are multiple languages available, a 1TB drive storage, etc",0
